playerShort,weight,yellowCards,player,skin_colour,club,birthday,defeats,yellowReds,ties,goals,position,games,leagueCountry,redCards,victories,height,gravity,meanIAT_yellowCards,meanIAT_yellowReds,meanIAT_redCards,meanIAT_gravity,meanExp_yellowCards,meanExp_yellowReds,meanExp_redCards,meanExp_gravity
adam-bodzek,79.0,66,Adam Bodzek,0.25,Fortuna Düsseldorf,07.09.1985,60,1,63,9,Defensive Midfielder,211,Germany,0,88,184.0,99.0971390552229,0.09694193678825976,0.0015028042975121472,0.0,0.14668045959580586,0.09675150465822834,0.0014998521982156295,0.0,0.14639232142485273
adam-campbell,76.03452685421995,1,Adam Campbell,0.0,Newcastle United,01.01.1995,9,0,5,2,,20,England,0,6,168.0,1.0,0.01921704021921906,0.0,0.0,0.01921704021921906,0.020967386016560237,0.0,0.0,0.020967386016560237
adam-federici,90.0,4,Adam Federici,0.0,Reading FC,31.01.1985,69,0,54,1,Goalkeeper,206,England,0,83,188.0,4.0,0.00800455026585656,0.0,0.0,0.00800455026585656,0.009819602512980675,0.0,0.0,0.009819602512980675
adam-hlousek,76.0,21,Adam Hloušek,0.0,1. FC Nürnberg,20.12.1988,51,0,34,13,Left Midfielder,131,Germany,0,46,188.0,21.0,0.05848709782212694,0.0,0.0,0.05848709782212694,0.07462398962845042,0.0,0.0,0.07462398962845042
adam-johnson,62.0,21,Adam Johnson,0.0,Sunderland AFC,14.07.1987,126,0,68,55,Left Midfielder,339,England,0,145,175.0,21.0,0.025785933570173714,0.0,0.0,0.025785933570173714,0.034643064708672115,0.0,0.0,0.034643064708672115
adam-morgan,76.03452685421995,0,Adam Morgan,0.25,Liverpool FC,21.04.1994,8,0,7,1,,23,England,0,8,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adam-pinter,76.0,14,Ádám Pintér,0.0,Real Zaragoza,12.06.1988,36,1,18,1,Center Back,82,Spain,1,28,190.0,78.40299179279369,0.040319427170516335,0.003302621376671179,0.006302142849062106,0.34692070208482717,0.06682438065296434,0.005252654567361999,0.007958550190211678,0.4898214195373289
adam-smith_3,73.0,29,Adam Smith,0.0,Millwall FC,29.04.1991,45,2,31,4,Right Fullback,131,England,1,55,173.0,126.50013084801658,0.06862795013848501,0.0023334977409051718,0.0023334977409051718,0.21891218599450335,0.07738810236261953,0.0025460397305823146,0.0025460397305823146,0.24136067823543894
adam-szalai,87.0,18,Ádám Szalai,0.25,1. FSV Mainz 05,09.12.1987,59,1,40,51,Center Forward,182,Germany,0,83,193.0,51.09713905522289,0.03345551258643984,0.0012022434380097179,0.0,0.07324633083247671,0.04139504302262948,0.0011998817585725037,0.0,0.08110769643592901
adan,88.0,1, Adán,0.0,Real Madrid,13.05.1987,16,0,6,0,Goalkeeper,44,Spain,1,22,190.0,32.3058527375708,0.01144217022169971,0.0,0.0023864102850785296,0.0861507791777925,0.005873578221144872,0.0,0.0037954665260938316,0.12469389435741778
adel-taarabt,78.0,23,Adel Taarabt,0.25,Queens Park Rangers,24.05.1989,86,1,56,41,Left Midfielder,209,England,0,67,180.0,56.09713905522289,0.03876306561701783,0.000388916290150862,0.0,0.05163508215298233,0.04487627389001945,0.00042433995509705237,0.0,0.05892071239055364
adil-rami,88.0,59,Adil Rami,0.125,Valencia CF,27.12.1985,71,2,71,20,Center Back,286,Spain,3,144,190.0,219.11183632315817,0.06917473581267936,0.004035140781182474,0.005681946327585875,0.38060452634906106,0.0997477660254523,0.0026348851280523075,0.007871511303254627,0.43337929918495166
adrian-colunga,69.0,22, Adrián Colunga,0.25,Getafe CF,17.11.1984,82,1,43,39,Center Forward,178,Spain,0,53,171.0,55.09713905522289,0.0567096902091754,0.0007870076472067491,0.0,0.08275739174630098,0.08773387310443424,0.0012516964075415828,0.0,0.12916144315976097
adrian-mutu,74.0,90,Adrian Mutu,0.25,AC Ajaccio,08.01.1979,134,2,120,178,Left Winger,453,France,3,199,180.0,250.11183632315817,0.068667696184224,0.0007643031478693484,0.001910757869673371,0.15378184823474939,0.10460952057928738,0.001048592788038698,0.002621481970096745,0.22138267040735374
adrian_2,73.0,16, Adrián,0.125,Atlético Madrid,08.01.1988,87,0,62,60,Center Forward,294,Spain,0,145,183.0,16.0,0.031603397622033236,0.0,0.0,0.031603397622033236,0.05348121032914079,0.0,0.0,0.05348121032914079
adrian_7,82.0,3, Adrián,0.25,SD Compostela,21.05.1983,8,0,11,0,Goalkeeper,29,Spain,0,10,188.0,3.0,0.031603397622033236,0.0,0.0,0.031603397622033236,0.05348121032914079,0.0,0.0,0.05348121032914079
adriano_24,67.0,58, Adriano,0.25,FC Barcelona,26.10.1984,85,1,59,33,Left Midfielder,373,Spain,3,229,172.0,185.01469726793528,0.03929561514927382,0.000285411723909855,0.0007583797235319004,0.0724836506075585,0.057765664011431184,0.00045393311075967894,0.0012061651228757184,0.1105495790139554
adrien-rabiot,71.0,11,Adrien Rabiot,0.0,Paris Saint-Germain,03.04.1995,10,0,14,6,Defensive Midfielder,66,France,0,42,188.0,11.0,0.08168714295830663,0.0,0.0,0.08168714295830663,0.12821420007701984,0.0,0.0,0.12821420007701984
aduriz,78.0,68, Aduriz,0.25,Athletic Bilbao,11.02.1981,115,3,82,105,Center Forward,322,Spain,4,125,182.0,292.51482811595184,0.07101121354807352,0.0015493779297963556,0.002266126168788021,0.1932342024644702,0.10550918859666591,0.002464208315552543,0.0036041606388136915,0.29989875607879557
agirretxe,77.0,8, Agirretxe,0.0,Real Sociedad,24.02.1987,60,0,62,52,Center Forward,200,Spain,0,78,187.0,8.0,0.011768748569905793,0.0,0.0,0.011768748569905793,0.018717607584239102,0.0,0.0,0.018717607584239102
ahmed-kantari,78.0,38,Ahmed Kantari,0.25,Stade Brest,28.06.1985,65,1,40,5,,166,France,0,61,185.0,71.0971390552229,0.06341865602942602,0.0011156129861478565,0.0,0.1003422541637741,0.068768567644425,0.0011203365437839033,0.0,0.10584850202268868
ahmed-sassi,69.0,1,Ahmed Sassi,0.5,1899 Hoffenheim,24.09.1993,8,0,1,4,Attacking Midfielder,15,Germany,0,6,179.0,1.0,0.024044868760194356,0.0,0.0,0.024044868760194356,0.023997635171450073,0.0,0.0,0.023997635171450073
alain-traore_2,66.0,17,Alain Traoré,1.0,FC Lorient,31.12.1988,49,0,42,31,Left Midfielder,130,France,1,39,176.0,48.3058527375708,0.05120894127085805,0.0,0.0011952996280155607,0.08862881540278635,0.0597968904997355,0.0,0.0012003605826256107,0.09737520213139751
alaixys-romao,74.0,61,Alaixys Romao,0.5,FC Lorient,18.01.1984,97,2,68,3,Defensive Midfielder,235,France,1,70,180.0,158.50013084801657,,,,,,,,
alassane-plea,65.0,0,Alassane Pléa,0.75,Olympique Lyon,10.03.1993,13,0,10,3,,33,France,0,10,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
albelda,77.0,197, Albelda,0.25,Valencia CF,01.09.1977,130,3,139,11,Defensive Midfielder,561,Spain,6,292,181.0,484.12653359109345,0.112319080401951,0.0005886955978528534,0.0019510029697051509,0.1928810321254373,0.1651603442566134,0.00093629098469787,0.002636986317415267,0.2787020024973018
alberto-botia,82.0,69, Alberto Botía,0.125,Sevilla FC,27.01.1989,70,0,50,4,Center Back,171,Spain,3,51,186.0,162.91755821271238,0.11969494864966514,0.0,0.01139987769008598,0.4765778408418157,0.19477234675987226,0.0,0.018787302356122502,0.7829248676568601
alberto-perea,68.0,1, Alberto Perea,0.25,Rayo Vallecano,19.12.1990,9,0,3,1,,17,Spain,0,5,177.0,1.0,0.033626690380652004,0.0,0.0,0.033626690380652004,0.05348157377677672,0.0,0.0,0.05348157377677672
alejandro-alonso,68.0,39,Alejandro Alonso,0.125,AS Saint-Étienne,03.03.1982,46,2,52,11,Right Midfielder,175,France,1,77,170.0,136.50013084801657,0.07466340076233596,0.0027840609279982166,0.001093738221713585,0.20104826013692384,0.09258511410308035,0.0027958487723662474,0.0010983691605724543,0.21950509289183073
alejandro-dominguez_2,73.0,36,Alejandro Domínguez,0.25,Rayo Vallecano,10.06.1981,52,0,41,45,Right Winger,197,Spain,1,104,175.0,67.3058527375708,0.06294370543576328,0.0,0.0035131649005931205,0.1729263284565341,0.12113185731422883,0.0,0.005860999168425768,0.3046154341759909
aleksandar-ignjovski,68.0,22,Aleksandar Ignjovski,0.25,Werder Bremen,27.01.1991,50,1,36,1,Defensive Midfielder,136,Germany,0,50,175.0,55.09713905522289,0.054267302859092724,0.006351474766843793,0.0,0.26448294642306114,0.05416070051116264,0.006338997969817001,0.0,0.2639633977889715
aleksandar-kolarov,80.0,50,Aleksandar Kolarov,0.125,Manchester City,10.11.1985,90,4,57,28,Left Fullback,285,England,3,138,187.0,276.30611443360397,0.05478756675143888,0.0062569721662247635,0.008396163378449681,0.5247244988879697,0.08506623903073468,0.011986474408674218,0.018192363128764474,1.0513116903740094
aleksandar-stevanovic,65.0,7,Aleksandar Stevanović,0.25,Werder Bremen,16.02.1992,29,0,10,16,,77,Germany,0,38,175.0,7.0,0.02854449332350558,0.0,0.0,0.02854449332350558,0.02848842070061032,0.0,0.0,0.02848842070061032
alex-lopez,66.0,32, Álex López,0.25,Celta Vigo,11.01.1988,54,0,30,16,Center Midfielder,141,Spain,0,57,174.0,32.0,0.08782570955489574,0.0,0.0,0.08782570955489574,0.1396824103677029,0.0,0.0,0.1396824103677029
alex-nimely-tchuimeni,72.0,3,Alex Nimely-Tchuimeni,0.875,Manchester City,11.05.1991,13,0,15,2,Center Forward,34,England,0,6,180.0,3.0,0.0326689683726724,0.0,0.0,0.0326689683726724,0.03564455622815241,0.0,0.0,0.03564455622815241
alex-oxlade-chamberlain,70.0,5,Alex Oxlade-Chamberlain,0.5,Arsenal FC,15.08.1993,32,0,27,26,,139,England,0,80,180.0,5.0,0.015204131157732703,0.0,0.0,0.015204131157732703,0.01854350159303379,0.0,0.0,0.01854350159303379
alex-rubio,77.0,5, Álex Rubio,0.125,Sevilla FC,23.07.1993,10,0,5,4,Center Forward,20,Spain,0,5,185.0,5.0,0.09247339854679301,0.0,0.0,0.09247339854679301,0.14707432788613597,0.0,0.0,0.14707432788613597
alex-smith_6,54.0,1,Alex Smith,0.5,Leyton Orient,31.10.1991,4,0,1,1,,14,England,0,9,175.0,1.0,0.023334977409051716,0.0,0.0,0.023334977409051716,0.025460397305823144,0.0,0.0,0.025460397305823144
alex-song,74.0,67,Alex Song,1.0,FC Barcelona,09.09.1987,73,2,65,11,Defensive Midfielder,347,Spain,0,209,182.0,133.1942781104458,,,,,,,,
alex_17,68.0,8, Álex,0.0,Real Madrid Castilla,15.10.1992,26,0,12,3,Center Midfielder,68,Spain,1,30,180.0,39.3058527375708,0.03512301465235281,0.0,0.004867020976147001,0.18748925660227886,0.053714849149960116,0.0,0.007740754099270314,0.2960457570594641
alex_4,92.0,48, Alex,0.5,Paris Saint-Germain,17.06.1982,47,0,81,38,Center Back,371,France,2,243,188.0,110.6117054751416,0.04561833486827937,0.0,0.0010493187833553656,0.0784681541747694,0.058550018602425424,0.0,0.0012680926662451545,0.09824874086948973
alexander-buettner,75.0,18,Alexander Büttner,0.25,Manchester United,11.02.1989,58,1,26,12,Left Fullback,138,England,0,54,174.0,51.09713905522289,0.029264688518709274,0.0016805714264165616,0.0,0.08488679471105251,0.036159753911414606,0.0021222800507231143,0.0,0.10640115186432302
alexander-esswein,85.0,25,Alexander Esswein,0.125,1. FC Nürnberg,25.03.1990,57,1,43,36,Left Winger,185,Germany,0,85,183.0,58.09713905522289,0.048446744842553555,0.001934644612889201,0.0,0.11247794661778533,0.04961094609778512,0.0019308442091971324,0.0,0.11351636538355446
alexander-hien,72.0,2,Alexander Hien,0.0,Eintracht Frankfurt,03.04.1993,26,0,7,2,Defensive Midfielder,58,Germany,0,25,183.0,2.0,0.013287953788528461,0.0,0.0,0.013287953788528461,0.013261851015801357,0.0,0.0,0.013261851015801357
alexander-madlung,92.0,42,Alexander Madlung,0.0,VfL Wolfsburg,11.07.1982,103,4,90,31,Center Back,325,Germany,3,132,193.0,268.30611443360397,0.05326168583449458,0.006799689203153468,0.0009395522880777699,0.3077254304933731,0.06519371145229473,0.009669625804984695,0.0009377066374809041,0.41458636723586456
alexander-manninger,83.0,11,Alexander Manninger,0.125,FC Augsburg,04.06.1977,111,0,96,0,Goalkeeper,322,Germany,1,115,188.0,42.3058527375708,0.0117202906609556,0.0,0.0005274051454787922,0.028231158478351774,0.016322499032982114,0.0,0.0006158424908424906,0.03560197336083592
alexander-meier,84.0,39,Alexander Meier,0.0,Eintracht Frankfurt,17.01.1983,136,2,85,106,Attacking Midfielder,342,Germany,0,121,196.0,105.19427811044578,0.03463041884256143,0.00990026636372306,0.0,0.3623009113664495,0.03595719830364939,0.010334514248982464,0.0,0.3780000534704043
alexander-ndoumbou,70.0,1,Alexander N'Doumbou,0.375,Olympique Marseille,04.01.1992,2,0,2,0,,5,France,0,1,174.0,1.0,0.0823952632639082,0.0,0.0,0.0823952632639082,0.1367892976588628,0.0,0.0,0.1367892976588628
alexander-ring,72.0,14,Alexander Ring,0.0,Bor. Mönchengladbach,09.04.1991,31,1,23,6,Right Midfielder,103,Germany,0,49,173.0,47.09713905522289,0.04961105263568494,0.005961770680797938,0.0,0.24692860587340515,0.08397986657518133,0.01318027210884354,0.0,0.5202091653472518
alexander-schwolow,83.0,1,Alexander Schwolow,0.125,SC Freiburg,02.06.1992,26,0,22,0,Goalkeeper,89,Germany,0,41,189.0,1.0,0.0054294864942374356,0.0,0.0,0.0054294864942374356,0.005418820845166146,0.0,0.0,0.005418820845166146
alexander-tettey,68.0,34,Alexander Tettey,1.0,Norwich City,04.04.1986,72,0,54,11,Defensive Midfielder,214,England,0,88,180.0,34.0,0.04978773593206035,0.0,0.0,0.04978773593206035,0.07737245286922913,0.0,0.0,0.07737245286922913
alexandre-alphonse,70.0,33,Alexandre Alphonse,0.625,Stade Brest,17.06.1982,65,0,53,68,Right Winger,229,France,2,111,176.0,95.6117054751416,0.037230551282505096,0.0,0.008402789861884799,0.30028705328342353,0.033283304940852985,0.0,0.009128001965929562,0.31904319027450057
alexandre-lacazette,73.0,18,Alexandre Lacazette,0.75,Olympique Lyon,28.05.1991,45,2,31,42,Center Forward,153,France,1,77,174.0,115.50013084801658,0.037173254498488746,0.0016708489423873428,0.006228616485183145,0.287465724728904,0.06897658790479995,0.0016779233950680581,0.008545408119839984,0.39203234001753134
alexis,80.0,77, Alexis,0.0,Getafe CF,04.08.1985,102,7,57,16,Center Back,255,Spain,4,96,183.0,433.90338433684343,0.10226506068802656,0.012855305130562543,0.00507328659661651,0.6865624452807435,0.17196505829133735,0.01736764452841296,0.008068809280255353,0.9993853594051206
alexis-sanchez,73.0,60,Alexis Sánchez,0.375,FC Barcelona,19.12.1988,91,2,67,96,Right Winger,373,Spain,2,215,170.0,188.80598358558737,0.058479792947502524,0.0015438626391986864,0.0052213266298817675,0.2730353119690603,0.09661006549416241,0.002279323413188531,0.008709238416578993,0.44469928477810466
alfaro_2,73.0,25, Alfaro,0.25,RCD Mallorca,23.11.1986,85,0,51,53,Attacking Midfielder,227,Spain,0,91,175.0,25.0,0.04724691287096651,0.0,0.0,0.04724691287096651,0.07514385828131988,0.0,0.0,0.07514385828131988
alhassane-bangoura,68.0,18,Alhassane Bangoura,1.0,Rayo Vallecano,30.09.1992,49,0,21,7,Right Midfielder,108,Spain,1,38,174.0,49.3058527375708,0.05295418798202441,0.0,0.0013599029198057796,0.0955271085268567,0.08422099467093107,0.0,0.0021628577630314113,0.15193110129270423
aliosman-aydin,77.0,8,Aliosman Aydin,0.0,Fortuna Düsseldorf,06.02.1992,32,0,23,18,,77,Germany,1,22,178.0,39.3058527375708,0.0473772969645311,0.0,0.007480625836504911,0.28156466778702127,0.047284229300783104,0.0,0.007465930942228912,0.28101156392707455
allan-nyom,81.0,42,Allan Nyom,0.75,Granada CF,10.05.1988,64,1,36,1,,148,Spain,0,48,186.0,75.0971390552229,,,,,,,,
almog-cohen,68.0,27,Almog Cohen,0.25,1. FC Nürnberg,01.09.1988,43,0,27,3,Defensive Midfielder,116,Germany,2,46,169.0,89.6117054751416,0.09157162645100878,0.0,0.006732563252854419,0.3023402601912499,0.11318579778027801,0.0,0.00671933784800602,0.3235403989439404
alou-diarra,79.0,91,Alou Diarra,1.0,West Ham United,15.07.1981,116,5,109,24,Defensive Midfielder,420,England,2,195,190.0,319.0974007512561,0.07331100218518355,0.003018068355425085,0.003297158043397559,0.27642077438195645,0.09053590721463588,0.004719996058098693,0.0035557102540579237,0.3580688146806401
alphonse-areola,88.0,0,Alphonse Aréola,0.5,Paris Saint-Germain,27.02.1993,7,0,14,0,Goalkeeper,47,France,0,26,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alvaro-gonzalez_3,76.0,43, Álvaro González,0.25,Real Zaragoza,08.01.1990,50,0,34,3,Center Back,114,Spain,2,30,183.0,105.6117054751416,0.13836760375149765,0.0,0.008219857648603824,0.39569725682248397,0.22006677209629233,0.0,0.013073273589878753,0.6293367498990102
alvaro-negredo,87.0,27, Álvaro Negredo,0.125,Sevilla FC,20.08.1985,101,0,58,150,Center Forward,321,Spain,5,162,186.0,183.52926368785398,,,,,,,,
alvaro-rubio,80.0,45, Álvaro Rubio,0.25,Real Valladolid,18.04.1979,99,3,78,4,Defensive Midfielder,257,Spain,0,80,178.0,144.29141716566866,0.074477965677377,0.004099805846902153,0.0,0.21016980989171352,0.11845348950578619,0.006520536704311447,0.0,0.3342645995230671
alvaro-vadillo,69.0,9, Álvaro Vadillo,0.375,Real Betis,12.09.1994,24,1,12,2,Left Winger,55,Spain,0,19,180.0,42.09713905522289,0.06552474288629918,0.013408764641691035,0.0,0.5093164907911033,0.09882065697961123,0.0414294750158129,0.0,1.4700177525628542
alvaro_10,71.0,9, Álvaro,0.125,Getafe CF,27.04.1991,59,0,27,32,Center Forward,136,Spain,0,50,182.0,9.0,0.041199959264536026,0.0,0.0,0.041199959264536026,0.06595809428104096,0.0,0.0,0.06595809428104096
alvaro_8,80.0,5, Álvaro,0.25,RCD Mallorca,19.05.1991,10,0,10,3,Center Forward,29,Spain,0,9,182.0,5.0,0.041199959264536026,0.0,0.0,0.041199959264536026,0.06595809428104096,0.0,0.0,0.06595809428104096
aly-cissokho,75.0,28,Aly Cissokho,1.0,Valencia CF,15.09.1987,53,0,51,4,Left Fullback,213,Spain,3,109,181.0,121.9175582127124,0.047048905346836804,0.0,0.0020590839979748032,0.11151028576172455,0.07027530257757476,0.0,0.002820710487157377,0.15858004970384518
amaya_3,86.0,40, Amaya,0.375,Real Betis,31.05.1983,44,4,37,5,Center Back,126,Spain,1,45,192.0,203.69440895846236,0.10788459710031519,0.009247339854679302,0.001926529136391521,0.47425672760005305,0.1681863603897387,0.014707432788613597,0.003064048497627833,0.7508829595873396
amin-younes,67.0,1,Amin Younes,0.25,Bor. Mönchengladbach,06.08.1993,32,0,22,11,Right Midfielder,101,Germany,0,47,168.0,1.0,0.00437910218361347,0.0,0.0,0.00437910218361347,0.0022479126525369263,0.0,0.0,0.0022479126525369263
ammar-jemal,81.0,19,Ammar Jemal,0.625,AC Ajaccio,20.04.1987,31,2,27,12,Left Fullback,99,France,0,41,186.0,85.19427811044578,,,,,,,,
amorebieta,85.0,93, Amorebieta,0.0,Athletic Bilbao,29.03.1985,111,9,65,5,Center Back,274,Spain,4,98,192.0,516.0976624472892,0.0958883239359709,0.010601658994559884,0.005459912560980056,0.6177001244890288,0.14167158441777933,0.018759054687690683,0.01142486579438113,1.1202077920662143
anatoliy-tymoshchuk,75.0,62,Anatoliy Tymoshchuk,0.25,Bayern München,30.03.1979,94,2,83,23,Defensive Midfielder,406,Germany,2,229,181.0,190.8059835855874,0.04967064509733043,0.0023883894307732763,0.0021887472060404794,0.1972400999177309,0.08811948868790637,0.003756149732620318,0.002196650693213621,0.2812053218183077
ander-herrera,73.0,62, Ander Herrera,0.0,Athletic Bilbao,14.08.1989,72,1,57,21,Attacking Midfielder,230,Spain,4,101,182.0,220.3205500055061,0.09434069765989081,0.0013024422330534227,0.002156265474721778,0.20495153877340314,0.15290882145487703,0.0020714694068469856,0.003429432684668898,0.32882984706158846
anders-lindegaard,80.0,1,Anders Lindegaard,0.25,Manchester United,13.04.1984,30,0,20,0,Goalkeeper,100,England,0,50,193.0,1.0,0.0015138050000536578,0.0,0.0,0.0015138050000536578,0.0030792188965634844,0.0,0.0,0.0030792188965634844
anderson-conceicao,81.0,3, Anderson Conceição,0.5,RCD Mallorca,24.10.1989,20,2,7,1,Center Back,32,Spain,0,5,188.0,69.19427811044578,0.03075427723883582,0.02732933655191756,0.0,0.9352771293846369,0.052645102304798894,0.04719790497568274,0.0,1.6147607264001673
anderson_7,69.0,19, Anderson,0.75,Manchester United,13.04.1988,45,0,27,13,Center Midfielder,220,England,0,148,176.0,19.0,0.03419603534553498,0.0,0.0,0.03419603534553498,0.058339395093075515,0.0,0.0,0.058339395093075515
andre-ayew,72.0,45,André Ayew,0.75,Olympique Marseille,17.12.1989,74,0,67,56,Attacking Midfielder,248,France,1,107,176.0,76.3058527375708,,,,,,,,
andre-biyogo-poko,75.0,9,André Biyogo Poko,0.75,Girondins Bordeaux,01.01.1993,15,1,14,2,,50,France,0,21,173.0,42.09713905522289,0.05193811797124985,0.0027890324653696416,0.0,0.14424711330712,0.027842806508885508,0.0028008413594597585,0.0,0.12054264245454466
andre-fomitschow,74.0,15,André Fomitschow,0.25,Fortuna Düsseldorf,07.09.1990,48,1,28,32,Left Midfielder,136,Germany,2,60,180.0,110.70884453036449,0.03718566912913779,0.000978570240240468,0.007828561921923743,0.3146533511203784,0.03711262183491698,0.000976647943024131,0.007813183544193048,0.314035248059303
andre-hoffmann_2,79.0,35,André Hoffmann,0.0,MSV Duisburg,28.02.1993,53,1,24,11,Defensive Midfielder,128,Germany,1,51,187.0,99.4029917927937,0.0984750981493639,0.004611344693735904,0.002305672346867952,0.32327845366164276,0.09960856364975051,0.004602286197264398,0.002301143098632199,0.3239703168664002
andre-luiz_3,76.0,53, Andre Luiz,0.75,AS Nancy,27.01.1980,99,2,82,21,Center Back,270,France,3,89,184.0,213.11183632315817,0.0666686437042472,0.0012903802802440713,0.004083940395719832,0.23722777589102445,0.08643628751906793,0.0012958438107890117,0.004101231990637504,0.2577175750601138
andre-pierre-gignac,84.0,31,André-Pierre Gignac,0.125,Olympique Marseille,05.12.1985,94,0,94,101,Center Forward,303,France,0,115,186.0,31.0,0.03238029680696859,0.0,0.0,0.03238029680696859,0.03800934391243101,0.0,0.0,0.03800934391243101
andre-santos,74.0,44, André Santos,0.5,Arsenal FC,08.03.1983,43,0,47,28,Left Fullback,198,England,1,108,180.0,75.3058527375708,,,,,,,,
andre-santos_2,72.0,22, André Santos,0.25,Deportivo La Coruña,02.03.1989,53,1,34,4,Center Midfielder,139,Spain,0,52,178.0,55.09713905522289,,,,,,,,
andre-schuerrle,74.0,11,André Schürrle,0.0,Bayer Leverkusen,06.11.1990,70,0,55,85,Left Winger,262,Germany,1,137,184.0,42.3058527375708,0.016203892604201374,0.0,0.0004046011570225012,0.02887027684339856,0.017197983283979573,0.0,0.0004038063610580541,0.029839485757757363
andre-weis,86.0,4,André Weis,0.25,VfB Stuttgart,30.09.1989,36,0,31,0,Goalkeeper,98,Germany,1,31,189.0,35.3058527375708,0.015301280120123679,0.0,0.0030602560240247365,0.111105204547506,0.015271222381831864,0.0,0.0030542444763663732,0.11088695018349656
