,playerShort,player,club,leagueCountry,birthday,height,weight,position,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,skin_colour
22,mats-hummels,Mats Hummels,Borussia Dortmund,Germany,16.12.1988,192.0,90.0,Center Back,319.0,181.0,74.0,64.0,32.0,36.0,0.0,1.0,0.25
23,mesut-oezil,Mesut Özil,Real Madrid,Spain,15.10.1988,183.0,76.0,Attacking Midfielder,418.0,260.0,82.0,76.0,76.0,28.0,0.0,3.0,0.125
24,milorad-pekovic,Milorad Pekovi?,SpVgg Greuther Fürth,Germany,05.08.1977,189.0,88.0,Defensive Midfielder,377.0,143.0,106.0,128.0,17.0,135.0,6.0,2.0,0.125
25,nemanja-vidic,Nemanja Vidi?,Manchester United,England,21.10.1981,188.0,82.0,Center Back,367.0,237.0,64.0,66.0,26.0,71.0,5.0,4.0,0.0
26,neven-subotic,Neven Suboti?,Borussia Dortmund,Germany,10.12.1988,193.0,88.0,Center Back,300.0,169.0,66.0,65.0,24.0,32.0,1.0,1.0,0.125
27,patrick-ebert,Patrick Ebert,Real Valladolid,Spain,17.03.1987,172.0,68.0,Left Midfielder,247.0,91.0,62.0,94.0,30.0,54.0,2.0,0.0,0.0
28,peter-gulacsi,Péter Gulácsi,Liverpool FC (R),England,06.05.1990,190.0,75.0,Goalkeeper,106.0,65.0,11.0,30.0,0.0,2.0,0.0,0.0,0.0
29,steven-davis_2,Steven Davis,Southampton FC,England,01.01.1985,170.0,60.0,Defensive Midfielder,443.0,189.0,115.0,139.0,39.0,21.0,0.0,0.0,0.0
30,zdravko-kuzmanovic,Zdravko Kuzmanovi?,VfB Stuttgart,Germany,22.09.1987,186.0,71.0,Defensive Midfielder,339.0,156.0,77.0,106.0,38.0,42.0,1.0,1.0,0.0
31,carl-medjani,Carl Medjani,AC Ajaccio,France,15.05.1985,184.0,84.0,Center Back,230.0,78.0,64.0,88.0,9.0,25.0,0.0,5.0,0.5
32,hassan-yebda,Hassan Yebda,Granada CF,Spain,14.05.1984,187.0,80.0,Center Midfielder,168.0,70.0,36.0,62.0,8.0,35.0,1.0,0.0,0.0
33,karim-haggui,Karim Haggui,Hannover 96,Germany,20.01.1984,190.0,86.0,Center Back,329.0,133.0,85.0,111.0,21.0,56.0,2.0,3.0,0.25
34,medhi-lacen,Medhi Lacen,Getafe CF,Spain,15.03.1984,178.0,71.0,Defensive Midfielder,227.0,71.0,56.0,100.0,5.0,40.0,2.0,1.0,0.25
35,ryad-boudebouz,Ryad Boudebouz,FC Sochaux,France,19.02.1990,172.0,59.0,Right Midfielder,214.0,64.0,57.0,93.0,29.0,15.0,1.0,0.0,0.25
36,abdoulaye-diallo_2,Abdoulaye Diallo,Stade Rennes,France,30.03.1992,189.0,80.0,Goalkeeper,24.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.875
39,alexandre-alphonse,Alexandre Alphonse,Stade Brest,France,17.06.1982,176.0,70.0,Right Winger,229.0,111.0,53.0,65.0,68.0,33.0,0.0,2.0,0.625
40,alphonse-areola,Alphonse Aréola,Paris Saint-Germain,France,27.02.1993,190.0,88.0,Goalkeeper,47.0,26.0,14.0,7.0,0.0,0.0,0.0,0.0,0.5
41,andre-ayew,André Ayew,Olympique Marseille,France,17.12.1989,176.0,72.0,Attacking Midfielder,248.0,107.0,67.0,74.0,56.0,45.0,0.0,1.0,0.75
45,bocoundji-ca, Bocoundji Cá,Stade Reims,France,28.12.1986,172.0,69.0,Defensive Midfielder,196.0,77.0,53.0,66.0,4.0,28.0,1.0,1.0,0.75
46,chahir-belghazouani,Chahir Belghazouani,AC Ajaccio,France,06.10.1986,180.0,68.0,Attacking Midfielder,104.0,32.0,33.0,39.0,12.0,28.0,0.0,0.0,0.5
47,cheick-diabate,Cheick Diabaté,Girondins Bordeaux,France,25.04.1988,194.0,84.0,Center Forward,155.0,61.0,48.0,46.0,61.0,19.0,0.0,1.0,0.75
49,djibril-sidibe_2,Djibril Sidibé,Lille OSC,France,29.07.1992,182.0,71.0,Right Fullback,80.0,42.0,21.0,17.0,3.0,15.0,1.0,0.0,0.75
50,fabrice-begeorgi,Fabrice Begeorgi,AC Ajaccio,France,20.04.1987,177.0,74.0,Right Fullback,91.0,31.0,32.0,28.0,4.0,15.0,1.0,1.0,0.0
51,fahid-ben-khalfallah,Fahid Ben Khalfallah,Girondins Bordeaux,France,09.10.1982,174.0,68.0,Right Midfielder,184.0,63.0,57.0,64.0,13.0,23.0,0.0,0.0,0.5
52,fallou-diagne,Fallou Diagné,SC Freiburg,Germany,14.08.1989,185.0,75.0,Center Back,124.0,49.0,35.0,40.0,6.0,25.0,0.0,4.0,1.0
54,foued-kadir,Foued Kadir,Valenciennes FC,France,05.12.1983,179.0,68.0,Attacking Midfielder,179.0,58.0,60.0,61.0,24.0,13.0,0.0,0.0,0.25
56,franck-signorino,Franck Signorino,Stade Reims,France,19.09.1981,173.0,69.0,Left Fullback,255.0,72.0,75.0,108.0,3.0,35.0,1.0,0.0,0.0
58,gaetan-bong,Gaëtan Bong,Valenciennes FC,France,25.04.1988,183.0,74.0,Left Fullback,188.0,73.0,50.0,65.0,3.0,28.0,0.0,0.0,0.75
60,geoffrey-dernis,Geoffrey Dernis,Stade Brest,France,24.12.1980,171.0,66.0,Left Midfielder,277.0,116.0,66.0,95.0,29.0,46.0,0.0,1.0,0.25
63,guy-ndy-assembe,Guy N'Dy Assembe,AS Nancy,France,28.02.1986,184.0,79.0,Goalkeeper,132.0,43.0,45.0,44.0,0.0,3.0,0.0,0.0,0.875
65,henri-bedimo,Henri Bédimo,Montpellier HSC,France,04.06.1984,180.0,77.0,Left Fullback,248.0,91.0,65.0,92.0,5.0,41.0,1.0,0.0,0.75
66,henri-saivet,Henri Saivet,Girondins Bordeaux,France,26.10.1990,174.0,73.0,Right Winger,146.0,59.0,51.0,36.0,20.0,1.0,0.0,0.0,1.0
67,issa-ndoye,Issa Ndoye,SpVgg Greuther Fürth,Germany,12.12.1985,202.0,94.0,Goalkeeper,25.0,4.0,10.0,11.0,0.0,2.0,0.0,0.0,1.0
68,jean-armel-kana-biyik,Jean-Armel Kana-Biyik,Stade Rennes,France,03.07.1989,180.0,78.0,Right Fullback,163.0,59.0,46.0,58.0,3.0,19.0,3.0,2.0,0.75
71,jonathan-tinhan,Jonathan Tinhan,Montpellier HSC,France,01.06.1989,178.0,69.0,Defensive Midfielder,51.0,10.0,17.0,24.0,4.0,5.0,0.0,0.0,0.75
72,jose-saez,José Saez,Valenciennes FC,France,07.05.1982,170.0,63.0,Defensive Midfielder,182.0,68.0,50.0,64.0,9.0,23.0,3.0,1.0,0.125
73,julien-sable,Julien Sablé,SC Bastia,France,11.09.1980,181.0,73.0,Defensive Midfielder,338.0,109.0,104.0,125.0,10.0,40.0,1.0,1.0,0.25
77,laurent-koscielny,Laurent Koscielny,Arsenal FC,England,10.09.1985,185.0,75.0,Center Back,247.0,135.0,52.0,60.0,20.0,36.0,2.0,3.0,0.0
79,lionel-cappone,Lionel Cappone,Stade Brest,France,08.02.1979,182.0,74.0,Goalkeeper,45.0,14.0,15.0,16.0,0.0,1.0,0.0,2.0,0.25
80,ludovic-giuly,Ludovic Giuly,FC Lorient,France,10.07.1976,164.0,62.0,Right Winger,603.0,294.0,151.0,158.0,133.0,45.0,0.0,3.0,0.25
83,nicolas-fauvergue,Nicolas Fauvergue,Stade Reims,France,13.10.1984,191.0,81.0,Center Forward,254.0,89.0,92.0,73.0,56.0,49.0,0.0,0.0,0.25
84,nolan-roux,Nolan Roux,Lille OSC,France,01.03.1988,182.0,78.0,Center Forward,169.0,75.0,52.0,42.0,47.0,26.0,1.0,0.0,0.25
86,omar-daf,Omar Daf,FC Sochaux,France,12.02.1977,177.0,70.0,Right Fullback,230.0,88.0,65.0,77.0,2.0,54.0,3.0,1.0,0.75
87,papiss-demba-cisse,Papiss Demba Cissé,Newcastle United,England,03.06.1985,183.0,73.0,Center Forward,230.0,81.0,49.0,100.0,97.0,25.0,0.0,1.0,1.0
88,renaud-cohade,Renaud Cohade,AS Saint-Étienne,France,29.09.1984,180.0,78.0,Defensive Midfielder,254.0,94.0,80.0,80.0,23.0,32.0,2.0,0.0,0.0
90,roy-contout,Roy Contout,FC Sochaux,France,11.02.1985,174.0,62.0,Center Forward,232.0,68.0,72.0,92.0,25.0,26.0,0.0,0.0,0.5
92,sebastien-roudet,Sébastien Roudet,FC Sochaux,France,16.06.1981,180.0,67.0,Attacking Midfielder,281.0,88.0,79.0,114.0,27.0,34.0,0.0,2.0,0.125
95,toifilou-maoulida,Toifilou Maoulida,SC Bastia,France,08.06.1979,184.0,77.0,Center Forward,448.0,157.0,122.0,169.0,99.0,44.0,2.0,2.0,0.75
96,vincent-muratori,Vincent Muratori,AS Nancy,France,03.08.1987,178.0,65.0,Left Fullback,120.0,47.0,38.0,35.0,0.0,21.0,1.0,2.0,0.125
98,yacine-brahimi,Yacine Brahimi,Granada CF,Spain,08.02.1990,175.0,65.0,Attacking Midfielder,149.0,59.0,30.0,60.0,19.0,20.0,2.0,0.0,0.625
99,youssef-el-arabi,Youssef El-Arabi,Granada CF,Spain,03.02.1987,180.0,75.0,Center Forward,159.0,52.0,47.0,60.0,57.0,15.0,0.0,0.0,0.625
100,levent-aycicek,Levent Aycicek,Werder Bremen,Germany,12.02.1994,169.0,67.0,Attacking Midfielder,45.0,26.0,6.0,13.0,11.0,4.0,0.0,0.0,0.25
101,arthur-boka,Arthur Boka,VfB Stuttgart,Germany,02.04.1983,166.0,67.0,Left Fullback,390.0,147.0,95.0,148.0,12.0,66.0,2.0,2.0,1.0
102,gervinho, Gervinho,Arsenal FC,England,27.05.1987,179.0,68.0,Right Winger,341.0,157.0,83.0,101.0,88.0,32.0,0.0,2.0,0.75
103,guy-demel,Guy Demel,West Ham United,England,13.06.1981,187.0,83.0,Right Fullback,371.0,177.0,87.0,107.0,12.0,61.0,1.0,1.0,1.0
104,kolo-toure,Kolo Touré,Manchester City,England,19.03.1981,183.0,76.0,Center Back,518.0,295.0,129.0,94.0,20.0,44.0,2.0,1.0,1.0
105,onyekachi-apam,Onyekachi Apam,Stade Rennes,France,30.12.1986,177.0,67.0,Center Back,143.0,54.0,45.0,44.0,1.0,38.0,3.0,1.0,1.0
106,peter-odemwingie,Peter Odemwingie,West Bromwich Albion,England,15.07.1981,182.0,75.0,Center Forward,387.0,156.0,106.0,125.0,105.0,43.0,1.0,2.0,0.5
107,salomon-kalou,Salomon Kalou,Lille OSC,France,05.08.1985,184.0,77.0,Left Winger,454.0,273.0,99.0,82.0,148.0,22.0,0.0,0.0,0.75
108,siaka-tiene,Siaka Tiéné,Paris Saint-Germain,France,22.02.1982,176.0,72.0,Left Fullback,224.0,97.0,78.0,49.0,9.0,51.0,5.0,1.0,0.75
109,yaya-toure,Yaya Touré,Manchester City,England,13.05.1983,191.0,90.0,Defensive Midfielder,448.0,255.0,83.0,110.0,79.0,82.0,0.0,1.0,1.0
110,alaixys-romao,Alaixys Romao,FC Lorient,France,18.01.1984,180.0,74.0,Defensive Midfielder,235.0,70.0,68.0,97.0,3.0,61.0,2.0,1.0,0.5
111,alex-song,Alex Song,FC Barcelona,Spain,09.09.1987,182.0,74.0,Defensive Midfielder,347.0,209.0,65.0,73.0,11.0,67.0,2.0,0.0,1.0
112,anthony-annan,Anthony Annan,CA Osasuna,Spain,21.07.1986,175.0,64.0,Defensive Midfielder,179.0,91.0,44.0,44.0,1.0,32.0,0.0,1.0,1.0
113,carlos-kameni,Carlos Kameni,Málaga CF,Spain,18.02.1984,184.0,78.0,Goalkeeper,294.0,107.0,75.0,112.0,0.0,20.0,0.0,3.0,1.0
114,cedric-kante,Cédric Kanté,FC Sochaux,France,06.07.1979,181.0,77.0,Center Back,354.0,133.0,99.0,122.0,9.0,40.0,0.0,2.0,0.5
115,emmanuel-adebayor,Emmanuel Adebayor,Tottenham Hotspur,England,26.02.1984,190.0,75.0,Center Forward,450.0,234.0,116.0,100.0,170.0,43.0,1.0,5.0,1.0
116,jean-makoun,Jean Makoun,Stade Rennes,France,29.05.1983,172.0,65.0,Defensive Midfielder,440.0,193.0,129.0,118.0,31.0,68.0,2.0,2.0,0.875
117,john-mikel,John Mikel,Chelsea FC,England,22.04.1987,188.0,86.0,Center Midfielder,355.0,208.0,79.0,68.0,7.0,64.0,1.0,3.0,0.75
118,mahamadou-diarra,Mahamadou Diarra,Fulham FC,England,18.05.1981,183.0,76.0,Defensive Midfielder,413.0,227.0,97.0,89.0,29.0,74.0,3.0,0.0,1.0
119,michael-essien,Michael Essien,Real Madrid,Spain,03.12.1982,177.0,85.0,Defensive Midfielder,497.0,294.0,101.0,102.0,59.0,90.0,5.0,2.0,1.0
120,mohamed-sissoko,Mohamed Sissoko,Paris Saint-Germain,France,22.01.1985,191.0,81.0,Defensive Midfielder,319.0,179.0,63.0,77.0,9.0,82.0,6.0,1.0,1.0
121,obafemi-martins,Obafemi Martins,Levante UD,Spain,28.10.1984,176.0,67.0,Center Forward,374.0,164.0,97.0,113.0,125.0,20.0,0.0,1.0,1.0
122,souleymane-diawara,Souleymane Diawara,Olympique Marseille,France,24.12.1978,185.0,74.0,Center Back,428.0,185.0,103.0,140.0,18.0,76.0,3.0,3.0,1.0
123,stephane-mbia,Stéphane Mbia,Queens Park Rangers,England,20.05.1986,189.0,82.0,Defensive Midfielder,303.0,133.0,85.0,85.0,20.0,77.0,2.0,6.0,0.875
124,stephane-sessegnon,Stéphane Sessegnon,Sunderland AFC,England,01.06.1984,172.0,72.0,Right Midfielder,304.0,102.0,89.0,113.0,42.0,38.0,0.0,5.0,0.75
125,barel-mouko,Barel Mouko,Lille OSC,France,05.04.1979,177.0,71.0,Goalkeeper,26.0,11.0,6.0,9.0,0.0,1.0,0.0,0.0,1.0
126,steven-pienaar,Steven Pienaar,Everton FC,England,17.03.1982,176.0,66.0,Attacking Midfielder,424.0,203.0,111.0,110.0,45.0,64.0,3.0,1.0,0.5
127,clint-dempsey,Clint Dempsey,Tottenham Hotspur,England,09.03.1983,185.0,77.0,Attacking Midfielder,398.0,169.0,95.0,134.0,117.0,32.0,0.0,0.0,0.125
128,mark-schwarzer,Mark Schwarzer,Fulham FC,England,06.10.1972,194.0,85.0,Goalkeeper,722.0,279.0,184.0,259.0,0.0,12.0,0.0,1.0,0.25
129,nikita-rukavytsya,Nikita Rukavytsya,1. FSV Mainz 05,Germany,22.06.1987,183.0,74.0,Left Winger,168.0,62.0,46.0,60.0,31.0,3.0,0.0,0.0,0.25
130,oguchi-onyewu,Oguchi Onyewu,Málaga CF,Spain,13.05.1982,194.0,95.0,Center Back,331.0,176.0,74.0,81.0,26.0,54.0,5.0,3.0,0.5
131,steven-cherundolo,Steven Cherundolo,Hannover 96,Germany,19.02.1979,172.0,69.0,Right Fullback,492.0,206.0,113.0,173.0,9.0,73.0,5.0,1.0,0.125
132,tim-howard,Tim Howard,Everton FC,England,06.03.1979,195.0,88.0,Goalkeeper,516.0,251.0,130.0,135.0,1.0,18.0,0.0,1.0,0.25
133,marouane-chamakh,Marouane Chamakh,Arsenal FC,England,10.01.1984,185.0,70.0,Center Forward,399.0,175.0,105.0,119.0,95.0,63.0,2.0,2.0,0.25
134,souleymane-camara,Souleymane Camara,Montpellier HSC,France,22.12.1982,174.0,72.0,Right Winger,335.0,139.0,93.0,103.0,56.0,27.0,0.0,0.0,0.875
135,atsuto-uchida,Atsuto Uchida,FC Schalke 04,Germany,27.03.1988,176.0,62.0,Right Fullback,260.0,136.0,56.0,68.0,6.0,35.0,0.0,1.0,0.0
136,brett-holman,Brett Holman,Aston Villa,England,27.03.1984,176.0,75.0,Attacking Midfielder,321.0,142.0,74.0,105.0,58.0,20.0,2.0,0.0,0.0
137,chu-young-park,Chu-Young Park,Celta Vigo,Spain,10.07.1985,183.0,70.0,Center Forward,181.0,66.0,52.0,63.0,52.0,20.0,0.0,0.0,0.375
138,claudio-pizarro,Claudio Pizarro,Bayern München,Germany,03.10.1978,184.0,84.0,Center Forward,619.0,333.0,136.0,150.0,264.0,54.0,3.0,2.0,0.25
139,du-ri-cha,Du-Ri Cha,Fortuna Düsseldorf,Germany,25.07.1980,181.0,81.0,Right Fullback,368.0,150.0,78.0,140.0,22.0,24.0,0.0,2.0,0.375
140,hajime-hosogai,Hajime Hosogai,Bayer Leverkusen,Germany,10.06.1986,177.0,69.0,Defensive Midfielder,193.0,85.0,39.0,69.0,10.0,31.0,0.0,0.0,0.25
141,heung-min-son,Heung-Min Son,Hamburger SV,Germany,08.07.1992,183.0,76.0,Right Winger,161.0,68.0,27.0,66.0,44.0,8.0,0.0,0.0,0.375
143,hiroshi-kiyotake,Hiroshi Kiyotake,1. FC Nürnberg,Germany,12.11.1989,172.0,63.0,Attacking Midfielder,197.0,70.0,47.0,80.0,28.0,8.0,0.0,0.0,0.5
144,ja-cheol-koo,Ja-Cheol Koo,FC Augsburg,Germany,27.02.1989,183.0,75.0,Center Midfielder,156.0,69.0,37.0,50.0,27.0,19.0,0.0,0.0,0.375
145,jefferson-farfan,Jefferson Farfán,FC Schalke 04,Germany,26.10.1984,178.0,84.0,Left Winger,442.0,231.0,94.0,117.0,132.0,55.0,0.0,0.0,0.75
146,ji-sung-park,Ji-Sung Park,Queens Park Rangers,England,25.02.1981,175.0,70.0,Attacking Midfielder,413.0,244.0,82.0,87.0,55.0,12.0,1.0,0.0,0.25
147,makoto-hasebe,Makoto Hasebe,VfL Wolfsburg,Germany,18.01.1984,180.0,72.0,Right Midfielder,247.0,112.0,62.0,73.0,8.0,26.0,1.0,2.0,0.25
148,masoud-shojaei,Masoud Shojaei,CA Osasuna,Spain,09.06.1984,184.0,73.0,Attacking Midfielder,172.0,62.0,43.0,67.0,18.0,29.0,2.0,0.0,0.25
149,mitchell-langerak,Mitchell Langerak,Borussia Dortmund,Germany,22.08.1988,192.0,81.0,Goalkeeper,60.0,35.0,10.0,15.0,0.0,3.0,0.0,1.0,0.0
150,robbie-kruse,Robbie Kruse,Fortuna Düsseldorf,Germany,05.10.1988,179.0,70.0,Right Midfielder,169.0,73.0,44.0,52.0,30.0,25.0,0.0,0.0,0.0
152,shinji-kagawa,Shinji Kagawa,Manchester United,England,17.03.1989,172.0,63.0,Attacking Midfielder,194.0,116.0,35.0,43.0,58.0,9.0,0.0,0.0,0.25
153,shinji-okazaki,Shinji Okazaki,VfB Stuttgart,Germany,16.04.1986,173.0,70.0,Center Forward,263.0,120.0,58.0,85.0,90.0,18.0,0.0,0.0,0.25
154,winston-reid,Winston Reid,West Ham United,England,03.07.1988,190.0,87.0,Center Back,192.0,82.0,40.0,70.0,10.0,38.0,1.0,1.0,0.375
155,dorge-kouemaha,Dorge Kouemaha,Eintracht Frankfurt,Germany,28.06.1983,188.0,86.0,Center Forward,188.0,74.0,58.0,56.0,56.0,31.0,1.0,2.0,0.875
156,andre-santos, André Santos,Arsenal FC,England,08.03.1983,180.0,74.0,Left Fullback,337.0,160.0,81.0,96.0,32.0,66.0,1.0,1.0,0.5
157,angel-di-maria,Ángel Di María,Real Madrid,Spain,14.02.1988,180.0,70.0,Left Winger,392.0,243.0,79.0,70.0,69.0,62.0,3.0,3.0,0.25
158,dani-alves, Dani Alves,FC Barcelona,Spain,06.05.1983,173.0,64.0,Right Fullback,586.0,375.0,110.0,101.0,39.0,146.0,8.0,2.0,0.375
159,david-luiz, David Luiz,Chelsea FC,England,22.04.1987,185.0,73.0,Center Back,291.0,183.0,47.0,61.0,17.0,70.0,0.0,0.0,0.0
160,ever-banega,Éver Banega,Valencia CF,Spain,29.06.1988,174.0,71.0,Defensive Midfielder,311.0,161.0,75.0,75.0,15.0,75.0,4.0,1.0,0.125
161,ezequiel-lavezzi,Ezequiel Lavezzi,Paris Saint-Germain,France,03.05.1985,173.0,71.0,Center Forward,397.0,196.0,97.0,104.0,97.0,62.0,0.0,4.0,0.25
162,gonzalo-higuain,Gonzalo Higuaí­n,Real Madrid,Spain,10.12.1987,184.0,82.0,Center Forward,378.0,246.0,66.0,66.0,177.0,39.0,1.0,1.0,0.125
163,gotoku-sakai,G?toku Sakai,VfB Stuttgart,Germany,14.03.1991,176.0,74.0,Right Fullback,173.0,71.0,46.0,56.0,2.0,13.0,0.0,1.0,0.0
164,javier-mascherano,Javier Mascherano,FC Barcelona,Spain,08.06.1984,174.0,74.0,Defensive Midfielder,494.0,310.0,100.0,84.0,5.0,112.0,6.0,3.0,0.25
165,javier-pastore,Javier Pastore,Paris Saint-Germain,France,20.06.1989,187.0,78.0,Attacking Midfielder,247.0,140.0,45.0,62.0,50.0,22.0,2.0,1.0,0.25
167,lionel-messi,Lionel Messi,FC Barcelona,Spain,24.06.1987,169.0,67.0,Right Winger,498.0,338.0,96.0,64.0,387.0,41.0,0.0,1.0,0.0
168,lucas-leiva, Lucas Leiva,Liverpool FC,England,09.01.1987,179.0,74.0,Center Midfielder,287.0,159.0,60.0,68.0,11.0,49.0,2.0,2.0,0.25
169,ramires, Ramires,Chelsea FC,England,24.03.1987,180.0,64.0,Center Midfielder,363.0,212.0,66.0,85.0,51.0,85.0,7.0,1.0,1.0
170,takashi-inui,Takashi Inui,Eintracht Frankfurt,Germany,02.06.1988,169.0,59.0,Attacking Midfielder,153.0,64.0,33.0,56.0,28.0,17.0,2.0,0.0,0.375
171,takashi-usami,Takashi Usami,1899 Hoffenheim,Germany,06.05.1992,178.0,69.0,Attacking Midfielder,107.0,45.0,20.0,42.0,24.0,5.0,0.0,0.0,0.5
172,thiago-silva, Thiago Silva,Paris Saint-Germain,France,22.09.1984,183.0,79.0,Center Back,307.0,174.0,78.0,55.0,21.0,28.0,0.0,2.0,0.25
174,aurelien-chedjou,Aurelien Chedjou,Lille OSC,France,20.06.1985,184.0,75.0,Center Back,237.0,115.0,69.0,53.0,20.0,34.0,1.0,1.0,0.75
175,diego-buonanotte,Diego Buonanotte,Málaga CF,Spain,19.04.1988,161.0,60.0,Attacking Midfielder,193.0,65.0,52.0,76.0,33.0,48.0,0.0,1.0,0.25
176,federico-fazio,Federico Fazio,Sevilla FC,Spain,17.03.1987,195.0,90.0,Center Back,206.0,104.0,46.0,56.0,15.0,40.0,2.0,2.0,0.375
177,fernando-gago,Fernando Gago,Valencia CF,Spain,10.04.1986,178.0,74.0,Defensive Midfielder,328.0,200.0,53.0,75.0,3.0,74.0,2.0,0.0,0.25
178,luciano-monzon,Luciano Monzón,Olympique Lyon,France,13.04.1987,178.0,78.0,Left Fullback,160.0,64.0,42.0,54.0,13.0,21.0,1.0,1.0,0.25
179,mustafa-amini,Mustafa Amini,Borussia Dortmund,Germany,20.04.1993,175.0,73.0,Center Midfielder,77.0,33.0,22.0,22.0,5.0,12.0,0.0,0.0,0.25
180,nicolas-nkoulou,Nicolas N'Koulou,Olympique Marseille,France,27.03.1990,180.0,77.0,Center Back,240.0,93.0,68.0,79.0,3.0,32.0,0.0,1.0,0.75
181,pablo-zabaleta,Pablo Zabaleta,Manchester City,England,16.01.1985,173.0,69.0,Right Fullback,436.0,219.0,103.0,114.0,18.0,100.0,4.0,2.0,0.25
182,slobodan-rajkovic,Slobodan Rajkovi?,Hamburger SV,Germany,03.02.1989,191.0,88.0,Center Back,134.0,58.0,33.0,43.0,4.0,19.0,0.0,2.0,0.0
183,kingsley-onuegbu,Kingsley Onuegbu,SV Sandhausen,Germany,05.03.1986,191.0,94.0,Center Forward,178.0,69.0,42.0,67.0,56.0,5.0,0.0,0.0,1.0
184,philipp-wollscheid,Philipp Wollscheid,Bayer Leverkusen,Germany,06.03.1989,194.0,88.0,Center Back,191.0,89.0,33.0,69.0,10.0,28.0,0.0,0.0,0.0
185,arda-turan,Arda Turan,Atlético Madrid,Spain,30.01.1987,177.0,76.0,Left Winger,385.0,209.0,84.0,92.0,71.0,75.0,1.0,3.0,0.0
