playerShort,player,club,leagueCountry,birthday,height,weight,position,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,skin_colour,name_date,gravity,meanIAT_yellowCards,meanIAT_yellowReds,meanIAT_redCards,meanIAT_gravity,meanExp_yellowCards,meanExp_yellowReds,meanExp_redCards,meanExp_gravity
karim-haggui,Karim Haggui,Hannover 96,Germany,20.01.1984,190.0,86.0,Center Back,325.0,133.0,82.0,110.0,21.0,54.0,2.0,3.0,0.25,karim-haggui20.01.1984,214.05390058984193,0.06290793592564942,0.004807832784369216,0.003943632017914736,0.3453899575254567,0.04787474322257532,0.00403350776955937,0.005325860730065019,0.3479942862791377
medhi-lacen,Medhi Lacen,Getafe CF,Spain,15.03.1984,178.0,71.0,Defensive Midfielder,226.0,71.0,56.0,99.0,5.0,40.0,2.0,1.0,0.25,medhi-lacen15.03.1984,137.4648508730389,0.0805135115314197,0.002722160649862305,0.0004803812911521715,0.1856099446216953,0.11578205849016261,0.004329460734310496,0.0007640224825253817,0.2829326931903793
ryad-boudebouz,Ryad Boudebouz,FC Sochaux,France,19.02.1990,172.0,59.0,Right Midfielder,213.0,64.0,57.0,92.0,29.0,15.0,1.0,0.0,0.25,ryad-boudebouz19.02.1990,48.0851630073187,0.02680256157811515,0.007508936160584637,0.0,0.2752369384626077,0.031380150528528404,0.009482527886209659,0.0,0.34511113136522015
abdoulaye-diallo_2,Abdoulaye Diallo,Stade Rennes,France,30.03.1992,189.0,80.0,Goalkeeper,24.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.875,abdoulaye-diallo_230.03.1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ahmed-kantari,Ahmed Kantari,Stade Brest,France,28.06.1985,185.0,78.0,,166.0,61.0,40.0,65.0,5.0,38.0,1.0,0.0,0.25,ahmed-kantari28.06.1985,71.0851630073187,0.06341865602942602,0.0011156129861478565,0.0,0.10032889352920947,0.068768567644425,0.0011203365437839033,0.0,0.1058350848185715
alassane-plea,Alassane Pléa,Olympique Lyon,France,10.03.1993,180.0,65.0,,33.0,10.0,10.0,13.0,3.0,0.0,0.0,0.0,0.75,alassane-plea10.03.1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alexandre-alphonse,Alexandre Alphonse,Stade Brest,France,17.06.1982,176.0,70.0,Right Winger,229.0,111.0,53.0,65.0,68.0,33.0,0.0,2.0,0.625,alexandre-alphonse17.06.1982,95.58904971680302,0.037230551282505096,0.0,0.008402789861884799,0.3001918674951832,0.033283304940852985,0.0,0.009128001965929562,0.3189397893711735
alphonse-areola,Alphonse Aréola,Paris Saint-Germain,France,27.02.1993,190.0,88.0,Goalkeeper,47.0,26.0,14.0,7.0,0.0,0.0,0.0,0.0,0.5,alphonse-areola27.02.1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
andre-ayew,André Ayew,Olympique Marseille,France,17.12.1989,176.0,72.0,Attacking Midfielder,246.0,107.0,66.0,73.0,56.0,45.0,0.0,1.0,0.75,andre-ayew17.12.1989,76.2945248584015,0.07730096847713426,0.0,0.0017993757841094462,0.13361157868255305,0.10365649570707092,0.0,0.0018069944254579086,0.16020552767355636
bakary-kone,Bakary Koné,Olympique Lyon,France,27.04.1988,188.0,80.0,,181.0,76.0,49.0,56.0,9.0,28.0,2.0,2.0,0.875,bakary-kone27.04.1988,156.7593757314404,0.04600246842789316,0.0035304208422400523,0.002017383338422887,0.22594007051104073,0.03525769772691224,0.0035453688094427317,0.002025925033967275,0.21595716404513524
benjamin-nivet,Benjamin Nivet,ESTAC Troyes,France,02.01.1977,178.0,75.0,,352.0,95.0,113.0,144.0,55.0,38.0,3.0,1.0,0.25,benjamin-nivet02.01.1977,168.5500138803576,0.041420556478530025,0.0034889994322028924,0.0008451613531423156,0.18330359440067756,0.04159593305470188,0.003503772019215393,0.0008487398058968965,0.18407971040488066
benoit-costil,Benoît Costil,Stade Rennes,France,03.07.1987,186.0,78.0,,230.0,85.0,67.0,78.0,0.0,6.0,0.0,2.0,0.25,benoit-costil03.07.1987,68.58904971680302,0.009064355512451336,0.0,0.0017075708971650866,0.0625019754012671,0.009102734418244215,0.0,0.001714800832322301,0.06276661169256206
bocoundji-ca, Bocoundji Cá,Stade Reims,France,28.12.1986,172.0,69.0,Defensive Midfielder,196.0,77.0,53.0,66.0,4.0,28.0,1.0,1.0,0.75,bocoundji-ca28.12.1986,92.3796878657202,0.04840613990647812,0.0011743294591030071,0.0011743294591030071,0.12400910393504976,0.04861109377007224,0.0011793016250356877,0.0011793016250356877,0.12453416428940642
chahir-belghazouani,Chahir Belghazouani,AC Ajaccio,France,06.10.1986,180.0,68.0,Attacking Midfielder,104.0,32.0,33.0,39.0,12.0,28.0,0.0,0.0,0.5,chahir-belghazouani06.10.1986,28.0,0.0794756111144914,0.0,0.0,0.0794756111144914,0.08010350050002407,0.0,0.0,0.08010350050002407
cheick-diabate,Cheick Diabaté,Girondins Bordeaux,France,25.04.1988,194.0,84.0,Center Forward,155.0,61.0,48.0,46.0,61.0,19.0,0.0,1.0,0.75,cheick-diabate25.04.1988,50.29452485840151,0.03629536373085291,0.0,0.002699063676164169,0.12076127903898107,0.029253133588043094,0.0,0.002710491638186863,0.11407668153777131
david-gigliotti,David Gigliotti,AC Ajaccio,France,30.05.1985,176.0,74.0,,135.0,35.0,38.0,62.0,23.0,33.0,3.0,1.0,0.25,david-gigliotti30.05.1985,163.5500138803576,0.08573692393543714,0.010329749871739412,0.0020659499743478824,0.4921513050952088,0.08609993808709628,0.010373486516517625,0.0020746973033035246,0.49423509677219524
djibril-sidibe_2,Djibril Sidibé,Lille OSC,France,29.07.1992,182.0,71.0,Right Fullback,80.0,42.0,21.0,17.0,3.0,15.0,1.0,0.0,0.75,djibril-sidibe_229.07.1992,48.0851630073187,0.07678334760136371,0.009404294540044445,0.0,0.38792596542757135,0.07930696249642637,0.011828107502799551,0.0,0.4706418272946388
fabrice-begeorgi,Fabrice Begeorgi,AC Ajaccio,France,20.04.1987,177.0,74.0,Right Fullback,91.0,31.0,32.0,28.0,4.0,15.0,1.0,1.0,0.0,fabrice-begeorgi20.04.1987,79.3796878657202,0.059558083995698625,0.006233854863754092,0.0020659499743478824,0.3304591111554131,0.059636374908737175,0.006221609118524093,0.0020746973033035246,0.3304059930948179
fahid-ben-khalfallah,Fahid Ben Khalfallah,Girondins Bordeaux,France,09.10.1982,174.0,68.0,Right Midfielder,183.0,63.0,56.0,64.0,13.0,23.0,0.0,0.0,0.5,fahid-ben-khalfallah09.10.1982,23.0,0.04302459892329385,0.0,0.0,0.04302459892329385,0.056274309849866,0.0,0.0,0.056274309849866
fallou-diagne,Fallou Diagné,SC Freiburg,Germany,14.08.1989,185.0,75.0,Center Back,124.0,49.0,35.0,40.0,6.0,25.0,0.0,4.0,1.0,fallou-diagne14.08.1989,150.17809943360604,0.0646996836029675,0.0,0.011766354099370895,0.4329221444584845,0.07292356157074058,0.0,0.026047376690123466,0.8880638388959574
florian-raspentino,Florian Raspentino,Olympique Marseille,France,06.09.1989,179.0,,,87.0,27.0,19.0,41.0,17.0,7.0,0.0,0.0,0.25,florian-raspentino06.09.1989,7.0,0.017163276709967024,0.0,0.0,0.017163276709967024,0.017235946827444667,0.0,0.0,0.017235946827444667
foued-kadir,Foued Kadir,Valenciennes FC,France,05.12.1983,179.0,68.0,Attacking Midfielder,178.0,58.0,60.0,60.0,24.0,13.0,0.0,0.0,0.25,foued-kadir05.12.1983,13.0,0.017068681930921793,0.0,0.0,0.017068681930921793,0.017140951529674358,0.0,0.0,0.017140951529674358
fousseni-diawara,Fousseni Diawara,AC Ajaccio,France,28.08.1980,183.0,71.0,,253.0,88.0,81.0,84.0,13.0,39.0,0.0,1.0,0.875,fousseni-diawara28.08.1980,70.2945248584015,0.05644741463418414,0.0,0.0008451613531423156,0.08289633760945658,0.06211515470627186,0.0,0.0008487398058968965,0.08867606366022719
franck-signorino,Franck Signorino,Stade Reims,France,19.09.1981,173.0,69.0,Left Fullback,255.0,72.0,75.0,108.0,3.0,35.0,1.0,0.0,0.0,franck-signorino19.09.1981,68.0851630073187,0.05395581222969878,0.0004864591509365654,0.0,0.07005039253483689,0.07110824123802922,0.000488518841766237,0.0,0.0872709667500117
frederic-sammaritano,Frédéric Sammaritano,AC Ajaccio,France,23.03.1986,162.0,61.0,,190.0,50.0,66.0,74.0,24.0,16.0,0.0,1.0,0.25,frederic-sammaritano23.03.1986,47.29452485840151,0.023307135372941806,0.0,0.0008693088203749531,0.05051174186179347,0.02340581887576242,0.0,0.0008729895146368078,0.050725610942687856
gaetan-bong,Gaëtan Bong,Valenciennes FC,France,25.04.1988,183.0,74.0,Left Fullback,188.0,73.0,50.0,65.0,3.0,28.0,0.0,0.0,0.75,gaetan-bong25.04.1988,28.0,0.03729448644877492,0.0,0.0,0.03729448644877492,0.038926706163929445,0.0,0.0,0.038926706163929445
gaetan-charbonnier,Gaëtan Charbonnier,Montpellier HSC,France,27.12.1988,188.0,80.0,,151.0,54.0,43.0,54.0,34.0,18.0,1.0,1.0,0.0,gaetan-charbonnier27.12.1988,82.3796878657202,0.04051892507142603,0.001212622811030279,0.003637868433090837,0.1944841125517112,0.04069048409798991,0.0012177571128085905,0.003653271338425772,0.195307567393435
geoffrey-dernis,Geoffrey Dernis,Stade Brest,France,24.12.1980,171.0,66.0,Left Midfielder,277.0,116.0,66.0,95.0,29.0,46.0,0.0,1.0,0.25,geoffrey-dernis24.12.1980,77.2945248584015,0.06984877814227977,0.0,0.0020659499743478824,0.13450170097072356,0.08019645755738493,0.0,0.002074697303303525,0.14512312388927567
gueida-fofana,Gueïda Fofana,Olympique Lyon,France,16.05.1991,182.0,74.0,,168.0,81.0,40.0,47.0,15.0,21.0,1.0,1.0,1.0,gueida-fofana16.05.1991,85.3796878657202,0.03708492140669731,0.0017708142637267565,0.0017708142637267565,0.15108939097359106,0.05385742375010502,0.001778311974260164,0.001778311974260164,0.1683445935808471
guillaume-lacour,Guillaume Lacour,Évian Thonon Gaillard,France,02.08.1980,173.0,66.0,,294.0,100.0,83.0,111.0,5.0,31.0,0.0,0.0,0.0,guillaume-lacour02.08.1980,31.0,0.03274475330439417,0.0,0.0,0.03274475330439417,0.03609901569100708,0.0,0.0,0.03609901569100708
guy-ndy-assembe,Guy N'Dy Assembe,AS Nancy,France,28.02.1986,184.0,79.0,Goalkeeper,132.0,43.0,45.0,44.0,0.0,3.0,0.0,0.0,0.875,guy-ndy-assembe28.02.1986,3.0,0.0039560744189640305,0.0,0.0,0.0039560744189640305,0.003972824623347175,0.0,0.0,0.003972824623347175
hadi-sacko,Hadi Sacko,Girondins Bordeaux,France,24.03.1994,183.0,79.0,,41.0,17.0,9.0,15.0,4.0,4.0,0.0,0.0,0.75,hadi-sacko24.03.1994,4.0,0.044128067553429795,0.0,0.0,0.044128067553429795,0.07065715072674617,0.0,0.0,0.07065715072674617
henri-bedimo,Henri Bédimo,Montpellier HSC,France,04.06.1984,180.0,77.0,Left Fullback,248.0,91.0,65.0,92.0,5.0,41.0,1.0,0.0,0.75,henri-bedimo04.06.1984,74.0851630073187,0.06143412815734408,0.002091774349027231,0.0,0.130640823469438,0.06377808814263722,0.0021006310195948188,0.0,0.1332778078441619
henri-saivet,Henri Saivet,Girondins Bordeaux,France,26.10.1990,174.0,73.0,Right Winger,146.0,59.0,51.0,36.0,20.0,1.0,0.0,0.0,1.0,henri-saivet26.10.1990,1.0,0.003098924961521824,0.0,0.0,0.003098924961521824,0.003112045954955287,0.0,0.0,0.003112045954955287
issa-ndoye,Issa Ndoye,SpVgg Greuther Fürth,Germany,12.12.1985,202.0,94.0,Goalkeeper,25.0,4.0,10.0,11.0,0.0,2.0,0.0,0.0,1.0,issa-ndoye12.12.1985,2.0,0.0271259873895284,0.0,0.0,0.0271259873895284,0.04891289129401355,0.0,0.0,0.04891289129401355
jean-armel-kana-biyik,Jean-Armel Kana-Biyik,Stade Rennes,France,03.07.1989,180.0,78.0,Right Fullback,162.0,59.0,45.0,58.0,3.0,19.0,3.0,2.0,0.75,jean-armel-kana-biyik03.07.1989,180.84453873875913,0.033085893703470724,0.002342787270910499,0.002231225972295713,0.18042254910773514,0.033225980927076904,0.002352706741946197,0.0022406730875678066,0.1811864666312265
jeremy-pied,Jérémy Pied,OGC Nice,France,23.02.1989,173.0,69.0,,137.0,62.0,39.0,36.0,9.0,12.0,1.0,0.0,0.0,jeremy-pied23.02.1989,45.0851630073187,0.039788392840941524,0.0016090571915594086,0.0,0.09302431231178297,0.042782170605772746,0.0016158700150729376,0.0,0.09624349345309938
jonas-martin,Jonas Martin,Montpellier HSC,France,09.04.1990,182.0,70.0,,67.0,17.0,20.0,30.0,4.0,8.0,0.0,0.0,0.125,jonas-martin09.04.1990,8.0,0.03730330922431895,0.0,0.0,0.03730330922431895,0.037461253182774275,0.0,0.0,0.037461253182774275
jonathan-tinhan,Jonathan Tinhan,Montpellier HSC,France,01.06.1989,178.0,69.0,Defensive Midfielder,51.0,10.0,17.0,24.0,4.0,5.0,0.0,0.0,0.75,jonathan-tinhan01.06.1989,5.0,0.043916609034024515,0.0,0.0,0.043916609034024515,0.04702487014554504,0.0,0.0,0.04702487014554504
jose-saez,José Saez,Valenciennes FC,France,07.05.1982,170.0,63.0,Defensive Midfielder,182.0,68.0,50.0,64.0,9.0,23.0,3.0,1.0,0.125,jose-saez07.05.1982,153.5500138803576,0.042104676359581185,0.01140967826742126,0.0010866360254686914,0.4536014998093398,0.042282949531371974,0.011457987379608103,0.0010912368932960098,0.4555220698051634
julien-sable,Julien Sablé,SC Bastia,France,11.09.1980,181.0,73.0,Defensive Midfielder,338.0,109.0,104.0,125.0,10.0,40.0,1.0,1.0,0.25,julien-sable11.09.1980,104.3796878657202,0.04068503752601591,0.0002887695391236902,0.000498783749395465,0.0658482252438946,0.0503251982427942,0.00028999220287762815,0.0005008956231522668,0.07559492807605511
kassim-abdallah,Kassim Abdallah,Olympique Marseille,France,09.04.1987,185.0,74.0,,138.0,48.0,49.0,41.0,2.0,14.0,1.0,3.0,1.0,kassim-abdallah09.04.1987,140.96873758252323,0.03543711838352014,0.0013124858660563021,0.007109298441138301,0.3013430439987924,0.03558716080254752,0.0013180429926869452,0.007139399543720952,0.30261894456128496
kevin-olimpa,Kevin Olimpa,Girondins Bordeaux,France,10.03.1988,186.0,81.0,,37.0,14.0,10.0,13.0,0.0,1.0,0.0,0.0,0.5,kevin-olimpa10.03.1988,1.0,0.009843643995422265,0.0,0.0,0.009843643995422265,0.009885322445152089,0.0,0.0,0.009885322445152089
kossi-agassa,Kossi Agassa,Stade Reims,France,02.07.1978,190.0,83.0,,202.0,65.0,65.0,72.0,0.0,15.0,0.0,1.0,1.0,kossi-agassa02.07.1978,46.29452485840151,0.02515656289475067,0.0,0.0008807470943272553,0.05271912473213986,0.018984840633249105,0.0,0.0008844762187767658,0.04666410364842356
laurent-koscielny,Laurent Koscielny,Arsenal FC,England,10.09.1985,185.0,75.0,Center Back,247.0,135.0,52.0,60.0,20.0,36.0,2.0,3.0,0.0,laurent-koscielny10.09.1985,196.05390058984193,0.058516849418475535,0.0017451371993948933,0.005145861944753775,0.2772923026785905,0.07015976642757496,0.0019040895421021582,0.002987201531629966,0.22663993189720463
leyti-ndiaye,Leyti N'Diaye,Olympique Marseille,France,19.08.1985,188.0,84.0,,63.0,23.0,14.0,26.0,2.0,18.0,1.0,3.0,1.0,leyti-ndiaye19.08.1985,144.96873758252323,0.1017996849859919,0.004183548698054462,0.02091774349027231,0.8948239192481727,0.10223070962028118,0.0042012620391896375,0.02100631019594819,0.8986126456337242
lionel-cappone,Lionel Cappone,Stade Brest,France,08.02.1979,182.0,74.0,Goalkeeper,45.0,14.0,15.0,16.0,0.0,1.0,0.0,2.0,0.25,lionel-cappone08.02.1979,63.58904971680302,0.011540823994633,0.0,0.006732147330202582,0.22222017597007906,0.011589688383971414,0.0,0.0067606515573166584,0.22316106660340845
